date,service_name,resource_id,region,cost_usd,usage_hours,tag_owner,tag_project,tag_environment,anomaly_label
2024-01-25,EC2,res-ec2-b349b975,us-east-1,404.18,18.61,team-backend,project-alpha,production,normal
2024-01-26,EC2,res-ec2-b349b975,us-east-1,400.86,20.28,team-backend,project-alpha,production,normal
2024-01-27,EC2,res-ec2-b349b975,us-east-1,389.65,20.15,team-backend,project-alpha,production,normal
2024-01-28,EC2,res-ec2-b349b975,us-east-1,424.73,20.06,team-backend,project-alpha,production,normal
2024-01-29,EC2,res-ec2-b349b975,us-east-1,428.55,19.59,team-backend,project-alpha,production,normal
2024-01-30,EC2,res-ec2-b349b975,us-east-1,436.62,18.26,team-backend,project-alpha,production,normal
2024-01-31,EC2,res-ec2-b349b975,us-east-1,421.37,20.76,team-backend,project-alpha,production,normal
2024-02-01,EC2,res-ec2-b349b975,us-east-1,433.72,18.75,team-backend,project-alpha,production,normal
2024-02-02,EC2,res-ec2-b349b975,us-east-1,399.36,23.53,team-backend,project-alpha,production,normal
2024-02-03,EC2,res-ec2-b349b975,us-east-1,390.78,18.47,team-backend,project-alpha,production,normal
2024-02-04,EC2,res-ec2-b349b975,us-east-1,430.36,19.76,team-backend,project-alpha,production,normal
2024-02-05,EC2,res-ec2-b349b975,us-east-1,420.43,21.77,team-backend,project-alpha,production,normal
2024-02-06,EC2,res-ec2-b349b975,us-east-1,443.23,23.31,team-backend,project-alpha,production,normal
2024-02-07,EC2,res-ec2-b349b975,us-east-1,403.88,20.17,team-backend,project-alpha,production,normal
2024-02-08,EC2,res-ec2-b349b975,us-east-1,394.52,19.15,team-backend,project-alpha,production,normal
2024-02-09,EC2,res-ec2-b349b975,us-east-1,401.89,18.42,team-backend,project-alpha,production,normal
2024-02-10,EC2,res-ec2-b349b975,us-east-1,998.25,21.97,team-backend,project-alpha,production,provisioning_error
2024-02-11,EC2,res-ec2-b349b975,us-east-1,1023.84,23.91,team-backend,project-alpha,production,provisioning_error
2024-02-12,EC2,res-ec2-b349b975,us-east-1,1040.17,23.2,team-backend,project-alpha,production,provisioning_error
2024-02-13,EC2,res-ec2-b349b975,us-east-1,1057.61,20.72,team-backend,project-alpha,production,provisioning_error
2024-02-14,EC2,res-ec2-b349b975,us-east-1,979.85,18.98,team-backend,project-alpha,production,provisioning_error
2024-02-15,EC2,res-ec2-b349b975,us-east-1,970.89,22.02,team-backend,project-alpha,production,provisioning_error
2024-02-16,EC2,res-ec2-b349b975,us-east-1,932.76,22.1,team-backend,project-alpha,production,provisioning_error
2024-02-17,EC2,res-ec2-b349b975,us-east-1,1000.34,21.81,team-backend,project-alpha,production,provisioning_error
2024-02-18,EC2,res-ec2-b349b975,us-east-1,1017.26,19.47,team-backend,project-alpha,production,provisioning_error
2024-02-19,EC2,res-ec2-b349b975,us-east-1,1004.77,19.62,team-backend,project-alpha,production,provisioning_error
2024-02-20,EC2,res-ec2-b349b975,us-east-1,1059.0,22.13,team-backend,project-alpha,production,provisioning_error
2024-02-21,EC2,res-ec2-b349b975,us-east-1,1026.02,19.95,team-backend,project-alpha,production,provisioning_error
2024-02-22,EC2,res-ec2-b349b975,us-east-1,975.76,18.34,team-backend,project-alpha,production,provisioning_error
2024-02-23,EC2,res-ec2-b349b975,us-east-1,973.49,22.83,team-backend,project-alpha,production,provisioning_error
2024-02-24,EC2,res-ec2-b349b975,us-east-1,1010.95,18.4,team-backend,project-alpha,production,provisioning_error
2024-02-25,EC2,res-ec2-b349b975,us-east-1,1042.7,21.4,team-backend,project-alpha,production,provisioning_error
2024-02-26,EC2,res-ec2-b349b975,us-east-1,1021.01,19.28,team-backend,project-alpha,production,provisioning_error
2024-02-27,EC2,res-ec2-b349b975,us-east-1,1051.62,23.31,team-backend,project-alpha,production,provisioning_error
2024-02-28,EC2,res-ec2-b349b975,us-east-1,1029.29,18.86,team-backend,project-alpha,production,provisioning_error
2024-02-29,EC2,res-ec2-b349b975,us-east-1,1016.16,22.47,team-backend,project-alpha,production,provisioning_error
2024-03-01,EC2,res-ec2-b349b975,us-east-1,942.93,22.48,team-backend,project-alpha,production,provisioning_error
2024-03-02,EC2,res-ec2-b349b975,us-east-1,959.06,21.5,team-backend,project-alpha,production,provisioning_error
2024-03-03,EC2,res-ec2-b349b975,us-east-1,963.69,23.98,team-backend,project-alpha,production,provisioning_error
2024-03-04,EC2,res-ec2-b349b975,us-east-1,1017.49,20.96,team-backend,project-alpha,production,provisioning_error
2024-03-05,EC2,res-ec2-b349b975,us-east-1,1072.49,23.17,team-backend,project-alpha,production,provisioning_error
2024-03-06,EC2,res-ec2-b349b975,us-east-1,1077.18,18.96,team-backend,project-alpha,production,provisioning_error
2024-03-07,EC2,res-ec2-b349b975,us-east-1,980.54,21.58,team-backend,project-alpha,production,provisioning_error
2024-03-08,EC2,res-ec2-b349b975,us-east-1,986.77,21.58,team-backend,project-alpha,production,provisioning_error
2024-03-09,EC2,res-ec2-b349b975,us-east-1,980.7,19.51,team-backend,project-alpha,production,provisioning_error
2024-03-10,EC2,res-ec2-b349b975,us-east-1,993.9,23.65,team-backend,project-alpha,production,provisioning_error
2024-03-11,EC2,res-ec2-b349b975,us-east-1,1070.3,18.69,team-backend,project-alpha,production,provisioning_error
2024-03-12,EC2,res-ec2-b349b975,us-east-1,1113.97,22.51,team-backend,project-alpha,production,provisioning_error
2024-03-13,EC2,res-ec2-b349b975,us-east-1,1022.57,20.04,team-backend,project-alpha,production,provisioning_error
2024-03-14,EC2,res-ec2-b349b975,us-east-1,1017.52,18.95,team-backend,project-alpha,production,provisioning_error
2024-03-15,EC2,res-ec2-b349b975,us-east-1,890.09,22.33,team-backend,project-alpha,production,provisioning_error
2024-03-16,EC2,res-ec2-b349b975,us-east-1,1000.34,23.83,team-backend,project-alpha,production,provisioning_error
2024-03-17,EC2,res-ec2-b349b975,us-east-1,998.82,21.05,team-backend,project-alpha,production,provisioning_error
2024-03-18,EC2,res-ec2-b349b975,us-east-1,1048.26,21.75,team-backend,project-alpha,production,provisioning_error
2024-03-19,EC2,res-ec2-b349b975,us-east-1,1051.01,21.05,team-backend,project-alpha,production,provisioning_error
2024-03-20,EC2,res-ec2-b349b975,us-east-1,958.31,20.24,team-backend,project-alpha,production,provisioning_error
2024-03-21,EC2,res-ec2-b349b975,us-east-1,992.31,23.72,team-backend,project-alpha,production,provisioning_error
2024-03-22,EC2,res-ec2-b349b975,us-east-1,972.1,23.51,team-backend,project-alpha,production,provisioning_error
2024-03-23,EC2,res-ec2-b349b975,us-east-1,999.9,20.93,team-backend,project-alpha,production,provisioning_error
2024-03-24,EC2,res-ec2-b349b975,us-east-1,1006.89,20.18,team-backend,project-alpha,production,provisioning_error
2024-03-25,EC2,res-ec2-b349b975,us-east-1,1014.18,22.84,team-backend,project-alpha,production,provisioning_error
2024-03-26,EC2,res-ec2-b349b975,us-east-1,1043.24,19.45,team-backend,project-alpha,production,provisioning_error
2024-03-27,EC2,res-ec2-b349b975,us-east-1,1065.11,18.47,team-backend,project-alpha,production,provisioning_error
2024-03-28,EC2,res-ec2-b349b975,us-east-1,1010.2,22.9,team-backend,project-alpha,production,provisioning_error
2024-03-29,EC2,res-ec2-b349b975,us-east-1,932.4,21.2,team-backend,project-alpha,production,provisioning_error
2024-03-30,EC2,res-ec2-b349b975,us-east-1,996.92,21.96,team-backend,project-alpha,production,provisioning_error
2024-03-31,EC2,res-ec2-b349b975,us-east-1,1011.77,18.99,team-backend,project-alpha,production,provisioning_error
2024-04-01,EC2,res-ec2-b349b975,us-east-1,1091.77,21.64,team-backend,project-alpha,production,provisioning_error
2024-04-02,EC2,res-ec2-b349b975,us-east-1,1042.53,23.57,team-backend,project-alpha,production,provisioning_error
2024-04-03,EC2,res-ec2-b349b975,us-east-1,1026.13,22.14,team-backend,project-alpha,production,provisioning_error
2024-04-04,EC2,res-ec2-b349b975,us-east-1,979.68,20.39,team-backend,project-alpha,production,provisioning_error
2024-04-05,EC2,res-ec2-b349b975,us-east-1,928.75,20.24,team-backend,project-alpha,production,provisioning_error
2024-04-06,EC2,res-ec2-b349b975,us-east-1,969.64,20.71,team-backend,project-alpha,production,provisioning_error
2024-04-07,EC2,res-ec2-b349b975,us-east-1,1001.53,18.38,team-backend,project-alpha,production,provisioning_error
2024-04-08,EC2,res-ec2-b349b975,us-east-1,1050.22,21.32,team-backend,project-alpha,production,provisioning_error
2024-04-09,EC2,res-ec2-b349b975,us-east-1,1055.93,18.04,team-backend,project-alpha,production,provisioning_error
2024-04-10,EC2,res-ec2-b349b975,us-east-1,973.16,18.35,team-backend,project-alpha,production,provisioning_error
2024-04-11,EC2,res-ec2-b349b975,us-east-1,968.6,18.19,team-backend,project-alpha,production,provisioning_error
2024-04-12,EC2,res-ec2-b349b975,us-east-1,942.36,21.08,team-backend,project-alpha,production,provisioning_error
2024-04-13,EC2,res-ec2-b349b975,us-east-1,946.46,20.91,team-backend,project-alpha,production,provisioning_error
2024-04-14,EC2,res-ec2-b349b975,us-east-1,1014.59,22.34,team-backend,project-alpha,production,provisioning_error
2024-04-15,EC2,res-ec2-b349b975,us-east-1,1052.39,21.46,team-backend,project-alpha,production,provisioning_error
2024-04-16,EC2,res-ec2-b349b975,us-east-1,1114.17,20.84,team-backend,project-alpha,production,provisioning_error
2024-04-17,EC2,res-ec2-b349b975,us-east-1,1040.03,18.57,team-backend,project-alpha,production,provisioning_error
2024-04-18,EC2,res-ec2-b349b975,us-east-1,991.08,20.13,team-backend,project-alpha,production,provisioning_error
2024-04-19,EC2,res-ec2-b349b975,us-east-1,943.35,23.18,team-backend,project-alpha,production,provisioning_error
2024-04-20,EC2,res-ec2-b349b975,us-east-1,917.23,21.92,team-backend,project-alpha,production,provisioning_error
2024-04-21,EC2,res-ec2-b349b975,us-east-1,1014.04,18.36,team-backend,project-alpha,production,provisioning_error
2024-04-22,EC2,res-ec2-b349b975,us-east-1,1037.57,22.8,team-backend,project-alpha,production,provisioning_error
2024-04-23,EC2,res-ec2-b349b975,us-east-1,1136.34,19.15,team-backend,project-alpha,production,provisioning_error
2024-04-24,EC2,res-ec2-b349b975,us-east-1,1014.43,18.84,team-backend,project-alpha,production,provisioning_error
2024-04-25,EC2,res-ec2-b349b975,us-east-1,1006.29,20.78,team-backend,project-alpha,production,provisioning_error
2024-04-26,EC2,res-ec2-b349b975,us-east-1,967.11,18.45,team-backend,project-alpha,production,provisioning_error
2024-04-27,EC2,res-ec2-b349b975,us-east-1,922.57,23.14,team-backend,project-alpha,production,provisioning_error
2024-04-28,EC2,res-ec2-b349b975,us-east-1,1043.78,21.91,team-backend,project-alpha,production,provisioning_error
2024-04-29,EC2,res-ec2-b349b975,us-east-1,1058.83,18.09,team-backend,project-alpha,production,provisioning_error
2024-04-30,EC2,res-ec2-b349b975,us-east-1,1074.31,22.52,team-backend,project-alpha,production,provisioning_error
2024-05-01,EC2,res-ec2-b349b975,us-east-1,1001.21,20.44,team-backend,project-alpha,production,provisioning_error
2024-05-02,EC2,res-ec2-b349b975,us-east-1,1039.71,23.19,team-backend,project-alpha,production,provisioning_error
2024-05-03,EC2,res-ec2-b349b975,us-east-1,903.6,18.99,team-backend,project-alpha,production,provisioning_error
2024-05-04,EC2,res-ec2-b349b975,us-east-1,998.44,20.34,team-backend,project-alpha,production,provisioning_error
2024-05-05,EC2,res-ec2-b349b975,us-east-1,1067.8,22.71,team-backend,project-alpha,production,provisioning_error
2024-05-06,EC2,res-ec2-b349b975,us-east-1,1023.19,22.18,team-backend,project-alpha,production,provisioning_error
2024-05-07,EC2,res-ec2-b349b975,us-east-1,1044.03,22.7,team-backend,project-alpha,production,provisioning_error
2024-05-08,EC2,res-ec2-b349b975,us-east-1,1023.64,20.92,team-backend,project-alpha,production,provisioning_error
2024-05-09,EC2,res-ec2-b349b975,us-east-1,957.99,19.31,team-backend,project-alpha,production,provisioning_error
2024-05-10,EC2,res-ec2-b349b975,us-east-1,901.09,22.41,team-backend,project-alpha,production,provisioning_error
2024-05-11,EC2,res-ec2-b349b975,us-east-1,957.09,19.88,team-backend,project-alpha,production,provisioning_error
2024-05-12,EC2,res-ec2-b349b975,us-east-1,988.46,20.86,team-backend,project-alpha,production,provisioning_error
2024-05-13,EC2,res-ec2-b349b975,us-east-1,1048.99,21.19,team-backend,project-alpha,production,provisioning_error
2024-05-14,EC2,res-ec2-b349b975,us-east-1,1038.52,21.05,team-backend,project-alpha,production,provisioning_error
2024-05-15,EC2,res-ec2-b349b975,us-east-1,1064.79,18.41,team-backend,project-alpha,production,provisioning_error
2024-05-16,EC2,res-ec2-b349b975,us-east-1,960.07,23.17,team-backend,project-alpha,production,provisioning_error
2024-05-17,EC2,res-ec2-b349b975,us-east-1,951.69,23.65,team-backend,project-alpha,production,provisioning_error
2024-05-18,EC2,res-ec2-b349b975,us-east-1,978.43,21.47,team-backend,project-alpha,production,provisioning_error
2024-05-19,EC2,res-ec2-b349b975,us-east-1,975.5,18.49,team-backend,project-alpha,production,provisioning_error
2024-05-20,EC2,res-ec2-b349b975,us-east-1,1049.04,21.39,team-backend,project-alpha,production,provisioning_error
2024-05-21,EC2,res-ec2-b349b975,us-east-1,1103.68,19.56,team-backend,project-alpha,production,provisioning_error
2024-05-22,EC2,res-ec2-b349b975,us-east-1,973.17,19.89,team-backend,project-alpha,production,provisioning_error
2024-05-23,EC2,res-ec2-b349b975,us-east-1,995.96,18.79,team-backend,project-alpha,production,provisioning_error
2024-05-24,EC2,res-ec2-b349b975,us-east-1,979.21,20.74,team-backend,project-alpha,production,provisioning_error
2024-05-25,EC2,res-ec2-b349b975,us-east-1,976.59,23.61,team-backend,project-alpha,production,provisioning_error
2024-05-26,EC2,res-ec2-b349b975,us-east-1,972.48,21.73,team-backend,project-alpha,production,provisioning_error
2024-05-27,EC2,res-ec2-b349b975,us-east-1,1007.04,18.6,team-backend,project-alpha,production,provisioning_error
2024-05-28,EC2,res-ec2-b349b975,us-east-1,1062.66,21.04,team-backend,project-alpha,production,provisioning_error
2024-05-29,EC2,res-ec2-b349b975,us-east-1,1026.11,20.09,team-backend,project-alpha,production,provisioning_error
2024-05-30,EC2,res-ec2-b349b975,us-east-1,987.09,19.47,team-backend,project-alpha,production,provisioning_error
2024-05-31,EC2,res-ec2-b349b975,us-east-1,970.13,20.63,team-backend,project-alpha,production,provisioning_error
2024-06-01,EC2,res-ec2-b349b975,us-east-1,963.35,19.82,team-backend,project-alpha,production,provisioning_error
2024-06-02,EC2,res-ec2-b349b975,us-east-1,1015.89,22.84,team-backend,project-alpha,production,provisioning_error
2024-06-03,EC2,res-ec2-b349b975,us-east-1,1058.25,22.01,team-backend,project-alpha,production,provisioning_error
2024-06-04,EC2,res-ec2-b349b975,us-east-1,1022.59,23.59,team-backend,project-alpha,production,provisioning_error
2024-06-05,EC2,res-ec2-b349b975,us-east-1,1080.45,23.27,team-backend,project-alpha,production,provisioning_error
2024-06-06,EC2,res-ec2-b349b975,us-east-1,1007.42,23.34,team-backend,project-alpha,production,provisioning_error
2024-06-07,EC2,res-ec2-b349b975,us-east-1,918.05,18.93,team-backend,project-alpha,production,provisioning_error
2024-06-08,EC2,res-ec2-b349b975,us-east-1,982.96,19.26,team-backend,project-alpha,production,provisioning_error
2024-06-09,EC2,res-ec2-b349b975,us-east-1,989.11,22.12,team-backend,project-alpha,production,provisioning_error
2024-06-10,EC2,res-ec2-b349b975,us-east-1,1064.67,21.03,team-backend,project-alpha,production,provisioning_error
2024-06-11,EC2,res-ec2-b349b975,us-east-1,1080.4,23.45,team-backend,project-alpha,production,provisioning_error
2024-06-12,EC2,res-ec2-b349b975,us-east-1,1014.39,21.81,team-backend,project-alpha,production,provisioning_error
2024-06-13,EC2,res-ec2-b349b975,us-east-1,1009.64,18.26,team-backend,project-alpha,production,provisioning_error
2024-06-14,EC2,res-ec2-b349b975,us-east-1,985.13,18.78,team-backend,project-alpha,production,provisioning_error
2024-06-15,EC2,res-ec2-b349b975,us-east-1,990.74,18.97,team-backend,project-alpha,production,provisioning_error
2024-06-16,EC2,res-ec2-b349b975,us-east-1,1067.19,22.23,team-backend,project-alpha,production,provisioning_error
2024-06-17,EC2,res-ec2-b349b975,us-east-1,1053.05,18.67,team-backend,project-alpha,production,provisioning_error
2024-06-18,EC2,res-ec2-b349b975,us-east-1,1022.7,22.15,team-backend,project-alpha,production,provisioning_error
2024-06-19,EC2,res-ec2-b349b975,us-east-1,998.46,18.22,team-backend,project-alpha,production,provisioning_error
2024-06-20,EC2,res-ec2-b349b975,us-east-1,959.89,21.32,team-backend,project-alpha,production,provisioning_error
2024-06-21,EC2,res-ec2-b349b975,us-east-1,952.59,18.25,team-backend,project-alpha,production,provisioning_error
2024-06-22,EC2,res-ec2-b349b975,us-east-1,992.67,23.6,team-backend,project-alpha,production,provisioning_error
2024-06-23,EC2,res-ec2-b349b975,us-east-1,1012.1,18.24,team-backend,project-alpha,production,provisioning_error
2024-06-24,EC2,res-ec2-b349b975,us-east-1,1078.4,22.09,team-backend,project-alpha,production,provisioning_error
2024-06-25,EC2,res-ec2-b349b975,us-east-1,1059.35,20.12,team-backend,project-alpha,production,provisioning_error
2024-06-26,EC2,res-ec2-b349b975,us-east-1,1088.99,23.25,team-backend,project-alpha,production,provisioning_error
2024-06-27,EC2,res-ec2-b349b975,us-east-1,991.08,22.5,team-backend,project-alpha,production,provisioning_error
2024-06-28,EC2,res-ec2-b349b975,us-east-1,1026.99,19.42,team-backend,project-alpha,production,provisioning_error
2024-06-29,EC2,res-ec2-b349b975,us-east-1,977.09,22.8,team-backend,project-alpha,production,provisioning_error
2024-06-30,EC2,res-ec2-b349b975,us-east-1,972.46,20.47,team-backend,project-alpha,production,provisioning_error
2024-01-01,EC2,res-ec2-e51d52ec,ap-south-1,422.4,22.81,team-frontend,project-delta,production,normal
2024-01-02,EC2,res-ec2-e51d52ec,ap-south-1,446.85,23.18,team-frontend,project-delta,production,normal
2024-01-03,EC2,res-ec2-e51d52ec,ap-south-1,426.23,22.86,team-frontend,project-delta,production,normal
2024-01-04,EC2,res-ec2-e51d52ec,ap-south-1,419.69,19.6,team-frontend,project-delta,production,normal
2024-01-05,EC2,res-ec2-e51d52ec,ap-south-1,405.2,22.72,team-frontend,project-delta,production,normal
2024-01-06,EC2,res-ec2-e51d52ec,ap-south-1,402.7,18.65,team-frontend,project-delta,production,normal
2024-01-07,EC2,res-ec2-e51d52ec,ap-south-1,409.33,23.23,team-frontend,project-delta,production,normal
2024-01-08,EC2,res-ec2-e51d52ec,ap-south-1,416.59,23.15,team-frontend,project-delta,production,normal
2024-01-09,EC2,res-ec2-e51d52ec,ap-south-1,434.57,19.33,team-frontend,project-delta,production,normal
2024-01-10,EC2,res-ec2-e51d52ec,ap-south-1,440.14,22.9,team-frontend,project-delta,production,normal
2024-01-11,EC2,res-ec2-e51d52ec,ap-south-1,413.53,20.76,team-frontend,project-delta,production,normal
2024-01-12,EC2,res-ec2-e51d52ec,ap-south-1,384.6,19.83,team-frontend,project-delta,production,normal
2024-01-13,EC2,res-ec2-e51d52ec,ap-south-1,405.68,22.77,team-frontend,project-delta,production,normal
2024-01-14,EC2,res-ec2-e51d52ec,ap-south-1,424.85,19.37,team-frontend,project-delta,production,normal
2024-01-15,EC2,res-ec2-e51d52ec,ap-south-1,424.85,18.14,team-frontend,project-delta,production,normal
2024-01-16,EC2,res-ec2-e51d52ec,ap-south-1,442.5,19.16,team-frontend,project-delta,production,normal
2024-01-17,EC2,res-ec2-e51d52ec,ap-south-1,429.86,19.97,team-frontend,project-delta,production,normal
2024-01-18,EC2,res-ec2-e51d52ec,ap-south-1,396.8,23.19,team-frontend,project-delta,production,normal
2024-01-19,EC2,res-ec2-e51d52ec,ap-south-1,403.81,23.8,team-frontend,project-delta,production,normal
2024-01-20,EC2,res-ec2-e51d52ec,ap-south-1,410.37,19.67,team-frontend,project-delta,production,normal
2024-01-21,EC2,res-ec2-e51d52ec,ap-south-1,433.65,21.85,team-frontend,project-delta,production,normal
2024-01-22,EC2,res-ec2-e51d52ec,ap-south-1,450.22,20.4,team-frontend,project-delta,production,normal
2024-01-23,EC2,res-ec2-e51d52ec,ap-south-1,422.27,23.89,team-frontend,project-delta,production,normal
2024-01-24,EC2,res-ec2-e51d52ec,ap-south-1,417.04,21.22,team-frontend,project-delta,production,normal
2024-01-25,EC2,res-ec2-e51d52ec,ap-south-1,417.24,23.64,team-frontend,project-delta,production,normal
2024-01-26,EC2,res-ec2-e51d52ec,ap-south-1,405.68,18.69,team-frontend,project-delta,production,normal
2024-01-27,EC2,res-ec2-e51d52ec,ap-south-1,409.82,23.82,team-frontend,project-delta,production,normal
2024-01-28,EC2,res-ec2-e51d52ec,ap-south-1,468.54,19.07,team-frontend,project-delta,production,normal
2024-01-29,EC2,res-ec2-e51d52ec,ap-south-1,443.89,23.78,team-frontend,project-delta,production,normal
2024-01-30,EC2,res-ec2-e51d52ec,ap-south-1,455.48,19.59,team-frontend,project-delta,production,normal
2024-01-31,EC2,res-ec2-e51d52ec,ap-south-1,441.39,18.65,team-frontend,project-delta,production,normal
2024-02-01,EC2,res-ec2-e51d52ec,ap-south-1,418.92,20.61,team-frontend,project-delta,production,normal
2024-02-02,EC2,res-ec2-e51d52ec,ap-south-1,395.75,22.37,team-frontend,project-delta,production,normal
2024-02-03,EC2,res-ec2-e51d52ec,ap-south-1,412.77,19.88,team-frontend,project-delta,production,normal
2024-02-04,EC2,res-ec2-e51d52ec,ap-south-1,410.26,21.64,team-frontend,project-delta,production,normal
2024-02-05,EC2,res-ec2-e51d52ec,ap-south-1,433.32,21.07,team-frontend,project-delta,production,normal
2024-02-06,EC2,res-ec2-e51d52ec,ap-south-1,434.06,20.31,team-frontend,project-delta,production,normal
2024-02-07,EC2,res-ec2-e51d52ec,ap-south-1,430.17,21.46,team-frontend,project-delta,production,normal
2024-02-08,EC2,res-ec2-e51d52ec,ap-south-1,439.42,19.53,team-frontend,project-delta,production,normal
2024-02-09,EC2,res-ec2-e51d52ec,ap-south-1,377.15,22.25,team-frontend,project-delta,production,normal
2024-02-10,EC2,res-ec2-e51d52ec,ap-south-1,411.89,18.01,team-frontend,project-delta,production,normal
2024-02-11,EC2,res-ec2-e51d52ec,ap-south-1,399.68,23.55,team-frontend,project-delta,production,normal
2024-02-12,EC2,res-ec2-e51d52ec,ap-south-1,430.24,21.23,team-frontend,project-delta,production,normal
2024-02-13,EC2,res-ec2-e51d52ec,ap-south-1,454.86,22.32,team-frontend,project-delta,production,normal
2024-02-14,EC2,res-ec2-e51d52ec,ap-south-1,429.94,22.45,team-frontend,project-delta,production,normal
2024-02-15,EC2,res-ec2-e51d52ec,ap-south-1,397.6,22.02,team-frontend,project-delta,production,normal
2024-02-16,EC2,res-ec2-e51d52ec,ap-south-1,390.95,20.19,team-frontend,project-delta,production,normal
2024-02-17,EC2,res-ec2-e51d52ec,ap-south-1,411.81,18.42,team-frontend,project-delta,production,normal
2024-02-18,EC2,res-ec2-e51d52ec,ap-south-1,410.8,21.99,team-frontend,project-delta,production,normal
2024-02-19,EC2,res-ec2-e51d52ec,ap-south-1,439.25,19.98,team-frontend,project-delta,production,normal
2024-02-20,EC2,res-ec2-e51d52ec,ap-south-1,441.08,19.88,team-frontend,project-delta,production,normal
2024-02-21,EC2,res-ec2-e51d52ec,ap-south-1,420.72,23.09,team-frontend,project-delta,production,normal
2024-02-22,EC2,res-ec2-e51d52ec,ap-south-1,437.32,22.32,team-frontend,project-delta,production,normal
2024-02-23,EC2,res-ec2-e51d52ec,ap-south-1,407.12,19.8,team-frontend,project-delta,production,normal
2024-02-24,EC2,res-ec2-e51d52ec,ap-south-1,379.06,19.86,team-frontend,project-delta,production,normal
2024-02-25,EC2,res-ec2-e51d52ec,ap-south-1,422.35,20.45,team-frontend,project-delta,production,normal
2024-02-26,EC2,res-ec2-e51d52ec,ap-south-1,427.75,20.41,team-frontend,project-delta,production,normal
2024-02-27,EC2,res-ec2-e51d52ec,ap-south-1,451.74,19.77,team-frontend,project-delta,production,normal
2024-02-28,EC2,res-ec2-e51d52ec,ap-south-1,418.91,18.76,team-frontend,project-delta,production,normal
2024-02-29,EC2,res-ec2-e51d52ec,ap-south-1,409.47,20.52,team-frontend,project-delta,production,normal
2024-03-01,EC2,res-ec2-e51d52ec,ap-south-1,405.58,23.64,team-frontend,project-delta,production,normal
2024-03-02,EC2,res-ec2-e51d52ec,ap-south-1,414.06,22.06,team-frontend,project-delta,production,normal
2024-03-03,EC2,res-ec2-e51d52ec,ap-south-1,404.88,23.42,team-frontend,project-delta,production,normal
2024-03-04,EC2,res-ec2-e51d52ec,ap-south-1,432.04,21.69,team-frontend,project-delta,production,normal
2024-03-05,EC2,res-ec2-e51d52ec,ap-south-1,434.2,19.81,team-frontend,project-delta,production,normal
2024-03-06,EC2,res-ec2-e51d52ec,ap-south-1,420.7,21.29,team-frontend,project-delta,production,normal
2024-03-07,EC2,res-ec2-e51d52ec,ap-south-1,432.65,18.0,team-frontend,project-delta,production,normal
2024-03-08,EC2,res-ec2-e51d52ec,ap-south-1,404.38,19.72,team-frontend,project-delta,production,normal
